"time","series"
1980,76378
1980.08333333333,71947
1980.16666666667,33873
1980.25,96428
1980.33333333333,105084
1980.41666666667,95741
1980.5,110647
1980.58333333333,100331
1980.66666666667,94133
1980.75,103055
1980.83333333333,90595
1980.91666666667,101457
1981,76889
1981.08333333333,81291
1981.16666666667,91643
1981.25,96228
1981.33333333333,102736
1981.41666666667,100264
1981.5,103491
1981.58333333333,97027
1981.66666666667,95240
1981.75,91680
1981.83333333333,101259
1981.91666666667,109564
1982,76892
1982.08333333333,85773
1982.16666666667,95210
1982.25,93771
1982.33333333333,98202
1982.41666666667,97906
1982.5,100306
1982.58333333333,94089
1982.66666666667,102680
1982.75,77919
1982.83333333333,93561
1982.91666666667,117062
1983,81225
1983.08333333333,88357
1983.16666666667,106175
1983.25,91922
1983.33333333333,104114
1983.41666666667,109959
1983.5,97880
1983.58333333333,105386
1983.66666666667,96479
1983.75,97580
1983.83333333333,109490
1983.91666666667,110191
1984,90974
1984.08333333333,98981
1984.16666666667,107188
1984.25,94177
1984.33333333333,115097
1984.41666666667,113696
1984.5,114532
1984.58333333333,120110
1984.66666666667,93607
1984.75,110925
1984.83333333333,103312
1984.91666666667,120184
1985,103069
1985.08333333333,103351
1985.16666666667,111331
1985.25,106161
1985.33333333333,111590
1985.41666666667,99447
1985.5,101987
1985.58333333333,85333
1985.66666666667,86970
1985.75,100561
1985.83333333333,89543
1985.91666666667,89265
1986,82719
1986.08333333333,79498
1986.16666666667,74846
1986.25,73819
1986.33333333333,77029
1986.41666666667,78446
1986.5,86978
1986.58333333333,75878
1986.66666666667,69571
1986.75,75722
1986.83333333333,64182
1986.91666666667,77357
1987,63292
1987.08333333333,59380
1987.16666666667,78332
1987.25,72381
1987.33333333333,55971
1987.41666666667,69750
1987.5,85472
1987.58333333333,70133
1987.66666666667,79125
1987.75,85805
1987.83333333333,81778
1987.91666666667,86852
1988,69069
1988.08333333333,79556
1988.16666666667,88174
1988.25,66698
1988.33333333333,72258
1988.41666666667,73445
1988.5,76131
1988.58333333333,86082
1988.66666666667,75443
1988.75,73969
1988.83333333333,78139
1988.91666666667,78646
1989,66269
1989.08333333333,73776
1989.16666666667,80034
1989.25,70694
1989.33333333333,81823
1989.41666666667,75640
1989.5,75540
1989.58333333333,82229
1989.66666666667,75345
1989.75,77034
1989.83333333333,78589
1989.91666666667,79769
1990,75982
1990.08333333333,78074
1990.16666666667,77588
1990.25,84100
1990.33333333333,97966
1990.41666666667,89051
1990.5,93503
1990.58333333333,84747
1990.66666666667,74531
1990.75,91900
1990.83333333333,81635
1990.91666666667,89797
1991,81022
1991.08333333333,78265
1991.16666666667,77271
1991.25,85043
1991.33333333333,95418
1991.41666666667,79568
1991.5,103283
1991.58333333333,95770
1991.66666666667,91297
1991.75,101244
1991.83333333333,114525
1991.91666666667,101139
1992,93866
1992.08333333333,95171
1992.16666666667,100183
1992.25,103926
1992.33333333333,102643
1992.41666666667,108387
1992.5,97077
1992.58333333333,90901
1992.66666666667,90336
1992.75,88732
1992.83333333333,83759
1992.91666666667,99267
1993,73292
1993.08333333333,78943
1993.16666666667,94399
1993.25,92937
1993.33333333333,90130
1993.41666666667,91055
1993.5,106062
1993.58333333333,103560
1993.66666666667,104075
1993.75,101783
1993.83333333333,93791
1993.91666666667,102313
1994,82413
1994.08333333333,83534
1994.16666666667,109011
1994.25,96499
1994.33333333333,102430
1994.41666666667,103002
1994.5,91815
1994.58333333333,99067
1994.66666666667,110067
1994.75,101599
1994.83333333333,97646
1994.91666666667,104930
1995,88905
1995.08333333333,89936
1995.16666666667,106723
1995.25,84307
1995.33333333333,114896
1995.41666666667,106749
1995.5,87892
1995.58333333333,100506
